Id No.,Name,URL,Trail Length,Length,Units,Groomed,Lit,Snowmaking,Notes,City,State/Province,lat,lon,lat/lon,Google-address,Google Maps URL,Secondary URL,Source
1170,River Bend,http://www.canadatrails.ca/xc_ski/ab/ab35.html,11 KM,11,KM,unknown,N/A,N/A,Trails: 11 km of trails are groomed for cross-country skiing (skate and classic) at River Bend Golf Course. Waskasoo Park also has several trails at Great Chief Park Heritage Ranch and Red Deer College.,Red Deer,Alberta,52.32017,-113.783,"52.32017,-113.783","River Bend, Red Deer AB",,,http://www.canadatrails.ca
1169,Pigeon Lake Prov. Park,http://www.canadatrails.ca/xc_ski/ab/ab36.html,10 KM,10,KM,unknown,N/A,N/A,Trails: Pigeon Lake Provincial Park has 10 km of trails that are groomed for cross-country skiing by a local club. There are also 8 km of trails at the nature conservancy near Rundle's Mission about 10 km north.,Westerose,Alberta,53.0178,-114.13,"53.0178,-114.13","Pigeon Lake Prov. Park, Westerose AB",,,http://www.canadatrails.ca
1168,Jarvis Bay Prov. Park,http://www.canadatrails.ca/xc_ski/ab/ab37.html,7 KM,7,KM,unknown,N/A,N/A,Trails: Jarvis Bay Provincial Park has 7 km of ungroomed trails available for cross-country skiing.,Sylvan Lake,Alberta,52.34418,-114.085,"52.34418,-114.085","Jarvis Bay Prov. Park, Sylvan Lake AB",,,http://www.canadatrails.ca
1167,Wabamun Lake Prov. Park,http://www.canadatrails.ca/xc_ski/ab/ab38.html,7 KM,7,KM,unknown,N/A,N/A,Trails: Wabamun Lake Provincial Park has 7 km of ungroomed trails for cross-country skiing.,Wabamun,Alberta,53.55909,-114.437,"53.55909,-114.437","Wabamun Lake Prov. Park, Wabamun AB",,,http://www.canadatrails.ca
1166,St. Albert Nordic Ski Club,http://www.canadatrails.ca/xc_ski/ab/ab39.html,18 KM,18,KM,unknown,N/A,N/A,Trails: 18 km of trails are groomed for cross-country skiing by the St. Albert Nordic Ski Club. There are 2 km of trails lighted for night skiing on certain evenings.,St. Albert,Alberta,53.65611,-113.597,"53.65611,-113.597","St. Albert Nordic Ski Club, St. Albert AB",,,http://www.canadatrails.ca
1165,Waterton Lakes National Park,http://www.canadatrails.ca/xc_ski/ab/ab4.html,6 KM,6,KM,unknown,N/A,N/A,Trails: Two designated cross-country ski trails are located along the Akamina Parkway: the Dipper Trail (6 km return) and the Cameron Trail (5 km return). There are also several backcountry ski touring trails where there may be a possible avalanche hazard.,Waterton,Alberta,49.01987,-114.045,"49.01987,-114.045","Waterton Lakes National Park, Waterton AB",,,http://www.canadatrails.ca
1164,Chickakoo Lake Recreation Area,http://www.canadatrails.ca/xc_ski/ab/ab40.html,13 KM,13,KM,unknown,N/A,N/A,Trails: Chickakoo Lake Recreation Area offers 14 km of trails that are groomed for cross-country skiing. There are lots of single track some double track some skating lanes. See the Edmonton Nordic Ski Guide for a more detailed description.,Stony Plain,Alberta,53.61688,-114.071,"53.61688,-114.071","Chickakoo Lake Recreation Area, Stony Plain AB",,,http://www.canadatrails.ca
1163,River Valley Outdoor Centre,http://www.canadatrails.ca/xc_ski/ab/ab41.html,40 KM,40,KM,unknown,N/A,N/A,Trails: Throughout Edmonton's River Valley 50 km of trails are groomed for cross-country skiing in nine different parks most of them by the city. Edmonton Nordic Ski Club grooms the trails at Gold bar Park where they operate snowmaking on the trails and offer ski lessons. There are also some ungroomed trails. Trails at three parks are lighted for night skiing.Terwillegar Park - 5 kmWhitemud Park - 3 kmWilliam Hawrelak Park - 3 kmVictoria Park - 3 kmKinsmen Park - 3.5 km lightedMill Creek Park - 5 kmRiverside Golf Course - 5 km + 5 km connector to Capilano Park - 8 km lightedGold Bar Park - 10 km lighted and snowmaking by ENSC,Edmonton,Alberta,53.53378,-113.523,"53.53378,-113.523","River Valley Outdoor Centre, Edmonton AB",,,http://www.canadatrails.ca
1162,Strathcona Wilderness,http://www.canadatrails.ca/xc_ski/ab/ab42.html,14 KM,14,KM,unknown,N/A,N/A,Trails: Strathcona Wilderness is an outdoor adventure centre with 12 km of trails that are groomed for cross-country skiing of which 7 km are groomed for skating technique. It serves as the base for the Strathcona Nordic Ski Club. For more information see the Edmonton Nordic Ski Guide.,Sherwood Park,Alberta,53.52201,-113.324,"53.52201,-113.324","Strathcona Wilderness, Sherwood Park AB",,,http://www.canadatrails.ca
1161,Strathcona Science Provincial Park,http://www.canadatrails.ca/xc_ski/ab/ab43.html,8 KM,8,KM,unknown,N/A,N/A,Trails: Strathcona Science Provincial Park has 5 km of ungroomed trails that are available for cross-country skiing. Edmonton Nordic Ski Club operates a biathlon range in the park.,Sherwood Park,Alberta,53.56251,-113.369,"53.56251,-113.369","Strathcona Science Provincial Park, Sherwood Park AB",,,http://www.canadatrails.ca
