Name,GEOID,totalPp,landAre,density,collgRt,uaType,lsadTyp,nps_tr_,fs_trl_,ttl_trl,Start,Nordic1,Coords1,Nordic2,Coords2,Nordic3,Coords3,nrdc1_t,nrdc2_t,nrdc3_t
"Mattawa, WA",55522,3696,0.63,5845,2%,C,76,0,24,24,"-119.902192177842, 46.7354836503001",Leavenworth,"-120.6703006, 47.5784587",Methow Trails,"-120.1823871, 48.4762676",Stevens Pass,"-121.0902877, 47.7451493",123.2,205.5,205.5
"Caribou, ME",13645,3693,2.45,1507,17%,C,76,0,0,0,"-68.0100852453703, 46.8559773558595",Nordic Heritage Center,"-67.9510786, 46.7089019",Fort Kent,"-68.5879368, 47.2338001",Quarry Road,"-69.6579825, 44.5828526",18.2,57.66666667,57.66666667
"Cold Spring, MN",18586,3665,2.44,1499,10%,C,76,0,0,0,"-94.4294431185329, 45.4574704063415",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",80.26666667,887.8666667,887.8666667
"Gooding, ID",33895,3661,1.37,2678,8%,C,76,9,5,14,"-114.714339181544, 42.9365531328387",Galena Lodge,"-114.6550743, 43.8720784",Sun Valley,"-114.353624, 43.695609",BCRD Nordic,"-114.2938755, 43.5155169",120.7166667,95.83333333,95.83333333
"Yerington, NV",97669,3656,1.51,2423,9%,C,76,0,26,26,"-119.163707105487, 38.9830963685627",Hope Valley,"-119.9088482, 38.7379421",Rock Creek,"-118.7230461, 37.4689222",Bear Valley,"-120.0422834, 38.461523",102.4,171.5333333,171.5333333
"Wurtsboro, NY",97399,3650,4.45,820,9%,C,76,55,0,55,"-74.4139184012177, 41.5809667150733",Bearpen,"-74.4551101, 42.2837935",Mohonk Mountain,"-74.1364747, 41.7776369",Mountain Trails,"-74.142554, 42.195406",118.3,56.03333333,56.03333333
"St. Anthony, ID",77203,3641,1.85,1971,11%,C,76,18,23,41,"-111.681181717014, 43.9627610363192",Lone Mountain,"-111.3245968, 45.2769552",Rendezvous,"-111.1041092, 44.6621493",Crosscut,"-110.887706, 45.828366",146.6666667,81.4,81.4
"Rigby, ID",74962,3619,8.37,432,15%,C,76,15,32,47,"-111.912588715413, 43.6650778124503",Lone Mountain,"-111.3245968, 45.2769552",Rendezvous,"-111.1041092, 44.6621493",Mountain Dell,"-111.9114578, 40.7552338",169.7833333,104.5166667,104.5166667
"Jordan, MN",43426,3615,2.28,1584,17%,C,76,0,0,0,"-93.6366979548353, 44.6650200991815",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",48.4,845.0833333,845.0833333
"Mountain Home AFB, ID",59734,3613,7.56,478,14%,C,76,3,8,11,"-115.866219150587, 43.0466529056612",Bogus Basin,"-116.2058992, 43.6433908",Jug Mountain,"-116.0479775, 44.8329387",Galena Lodge,"-114.6550743, 43.8720784",73.55,196.25,196.25
"Buena Vista, CO",11242,3599,3.86,934,10%,C,76,4,50,54,"-106.129742777688, 38.831290263422",Brek,"-106.0572671, 39.4843684",Gold Run Nordic,"-106.0383518, 39.4816537",Frisco,"-106.077767, 39.57494",84.7,86.25,86.25
"Hoosick Falls, NY",39997,3576,1.62,2201,16%,C,76,0,5,5,"-73.3500274555362, 42.900948422805",Pineridge,"-73.4677841, 42.6909853",Notchview,"-73.1588148, 42.4764367",Prospect,"-73.077599, 42.875404",33.28333333,68.3,68.3
"Cazenovia, NY",14671,3544,1.56,2270,33%,C,76,0,1,1,"-75.8555978696646, 42.9371732194994",Osceola Ski and Sport,"-75.7016595, 43.5060069",Osceola,"-75.5978854, 43.4627838",Parc de la Gatineau,"-75.7724649, 45.4612618",80.36666667,86.45,86.45
"Everson, WA",28468,3503,3.05,1148,14%,C,76,2,6,8,"-122.349201026575, 48.9115948361874",Lost Lake,"-122.948241, 50.120232",Whistler,"-122.9555605, 50.1155699",Cypress Mountain,"-123.2046314, 49.396",180.1333333,177.2333333,177.2333333
"Cle Elum, WA",17560,3490,3.02,1154,13%,C,76,0,58,58,"-120.957572716976, 47.201998030358",Stevens Pass,"-121.0902877, 47.7451493",Leavenworth,"-120.6703006, 47.5784587",Methow Trails,"-120.1823871, 48.4762676",107.5,68.58333333,68.58333333
"Watertown, MN",92647,3474,1.87,1855,22%,C,76,0,0,0,"-93.8431269923746, 44.9581673679915",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",45.56666667,872.45,872.45
"Estacada, OR",27901,3399,2.85,1194,9%,C,76,0,82,82,"-122.332497757669, 45.3003489171393",Teacup Nordic,"-121.6422905, 45.3136991",Mt Bachelor,"-121.405239, 43.9971703",Stevens Pass,"-121.0902877, 47.7451493",68.7,199.2833333,199.2833333
"Wellington, CO",93673,3362,2.72,1236,20%,C,76,31,37,68,"-105.005121759656, 40.7015486952855",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",Snow Mountain Ranch,"-105.9394597, 40.086097",119.0333333,164.0166667,164.0166667
"Nyssa, OR",64243,3348,1.76,1907,2%,C,76,0,16,16,"-116.997172892845, 43.8781257725559",Bogus Basin,"-116.2058992, 43.6433908",Jug Mountain,"-116.0479775, 44.8329387",Mountain Gear,"-117.3226638, 47.678368",65.6,164.8666667,164.8666667
"Plainview, MN",69940,3328,1.56,2139,11%,C,76,0,0,0,"-92.1643946104138, 44.1646175456456",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",112.45,839.5,839.5
"Goldendale, WA",33787,3310,1.90,1746,11%,C,76,0,89,89,"-120.818650112729, 45.8225855367712",Teacup Nordic,"-121.6422905, 45.3136991",Leavenworth,"-120.6703006, 47.5784587",Stevens Pass,"-121.0902877, 47.7451493",100.2333333,183.3,183.3
"Gunnison, UT",36028,3274,2.34,1398,10%,C,76,0,54,54,"-111.818190773064, 39.1411556157858",Sundance,"-111.5785537, 40.3914719",Soldier Hollow,"-111.5011363, 40.4808987",Mountain Dell,"-111.9114578, 40.7552338",107.8833333,123.2666667,123.2666667
"Newport, NH",62785,3257,3.42,953,17%,C,76,0,11,11,"-72.1677106674521, 43.3589527756993",Eastman,"-72.1200467, 43.4982771",Woodstock,"-72.518896, 43.623174",Northfield Mountain,"-72.471313, 42.610827",22.9,58.65,58.65
"Corinth, NY",20125,3225,2.79,1156,11%,C,76,0,5,5,"-73.8324648576881, 43.2607217621438",Mt Van Hoevenberg,"-73.9135195, 44.2244201",Cascade,"-73.9263423, 44.2412103",Garnet Hill Lodge,"-74.1073348, 43.7124281",105.6666667,107.0333333,107.0333333
"Delta, UT",23284,3180,1.92,1660,15%,C,76,0,6,6,"-112.573436664802, 39.3529834912026",Mountain Dell,"-111.9114578, 40.7552338",Sundance,"-111.5785537, 40.3914719",Soldier Hollow,"-111.5011363, 40.4808987",130.8166667,121.0333333,121.0333333
"Cold Spring, NY",18613,3174,2.77,1144,24%,C,76,65,0,65,"-73.9394920779707, 41.4377685905936",Fahnestock,"-73.8246946, 41.4662118",Mohonk Mountain,"-74.1364747, 41.7776369",Mountain Trails,"-74.142554, 42.195406",12.16666667,66.13333333,66.13333333
"Manti, UT",54226,3174,1.62,1953,16%,C,76,0,42,42,"-111.638147968738, 39.2642864376002",Sundance,"-111.5785537, 40.3914719",Soldier Hollow,"-111.5011363, 40.4808987",Mountain Dell,"-111.9114578, 40.7552338",113.2666667,128.8333333,128.8333333
"Rancho Murieta, CA",73342,3172,4.15,763,38%,C,76,2,5,7,"-121.081570162301, 38.5023176552205",Royal Gorge,"-120.3891698, 39.3133934",Tahoe Donner,"-120.2534233, 39.3633936",Kirkwood XC,"-120.0722442, 38.7023082",119.85,136.4666667,136.4666667
"Melrose, MN",56089,3160,1.31,2406,8%,C,76,0,0,0,"-94.8159753891068, 45.6758404105269",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",96.81666667,897.2333333,897.2333333
