Name,GEOID,totalPp,landAre,density,collgRt,uaType,lsadTyp,nps_tr_,fs_trl_,ttl_trl,Start,Nordic1,Coords1,Nordic2,Coords2,Nordic3,Coords3,nrdc1_t,nrdc2_t,nrdc3_t
"Minneapolis--St. Paul, MN--WI",57628,2437965,1021.84,2386,27%,U,75,0,0,0,"-93.2805185271093, 44.9782901893264",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",7.533333333,866.2833333,866.2833333
"Spokane, WA",83764,356753,164.28,2172,17%,U,75,0,10,10,"-117.353182704276, 47.6800148772572",Mountain Gear,"-117.3226638, 47.678368",49 Degrees,"-117.5629318, 48.3011041",Jug Mountain,"-116.0479775, 44.8329387",10.38333333,76.38333333,76.38333333
"Pittsfield, MA",69778," 51,380 ",33.50,1534,15%,U,75,0,4,4,"-73.2187601859322, 42.4800034951175",Notchview,"-73.1588148, 42.4764367",Prospect,"-73.077599, 42.875404",Pineridge,"-73.4677841, 42.6909853",11,66,66
"Bend, OR",6868," 76,017 ",39.72,1914,22%,U,75,1,184,185,"-121.312390052858, 44.0489193494386",Mt Bachelor,"-121.405239, 43.9971703",Teacup Nordic,"-121.6422905, 45.3136991",Mt Shasta,"-122.181241, 41.317558",12,140,140
"Salt Lake City--West Valley City, UT",78499,940865,277.88,3386,20%,U,75,0,11,11,"-111.926674288236, 40.6382649271826",Mountain Dell,"-111.9114578, 40.7552338",Sundance,"-111.5785537, 40.3914719",Soldier Hollow,"-111.5011363, 40.4808987",14.86666667,56.5,56.5
"Burlington, VT",11755," 109,727 ",61.76,1777,27%,U,75,0,7,7,"-73.1618890653367, 44.4810237176481",Catamount,"-73.048714, 44.447395",Sleepy Hollow,"-73.029276, 44.352089",Rikert,"-72.991087, 43.954787",20,40,40
"Boise City, ID",8785,300309,133.57,2248,24%,U,75,2,22,24,"-116.290519026866, 43.6179234684827",Bogus Basin,"-116.2058992, 43.6433908",Jug Mountain,"-116.0479775, 44.8329387",Galena Lodge,"-114.6550743, 43.8720784",20.45,136.6333333,136.6333333
"Boston, MA--NH--RI",9271,4084553,1873.45,2180,24%,U,75,0,1,1,"-71.1419059839264, 42.3739599846109",Weston,"-71.2679762, 42.3316045",Great Brook,"-71.3528633, 42.5564104",Wolfeboro XC,"-71.2152225, 43.5847667",21.98333333,45.13333333,45.13333333
"Bozeman, MT",9514," 34,810 ",19.48,1787,30%,C,76,20,9,29,"-111.056973899382, 45.6848470425538",Crosscut,"-110.887706, 45.828366",Lone Mountain,"-111.3245968, 45.2769552",Rendezvous,"-111.1041092, 44.6621493",26,68,68
"Provo--Orem, UT",72559,339132,168.90,2008,26%,U,75,0,26,26,"-111.729762057204, 40.2758987967777",Sundance,"-111.5785537, 40.3914719",Soldier Hollow,"-111.5011363, 40.4808987",Mountain Dell,"-111.9114578, 40.7552338",29,44.56666667,44.56666667
"Rome, NY",76231," 30,644 ",21.72,1411,12%,C,76,0,0,0,"-75.4429372411321, 43.2326015473857",Osceola,"-75.5978854, 43.4627838",Osceola Ski and Sport,"-75.7016595, 43.5060069",Parc de la Gatineau,"-75.7724649, 45.4612618",34,42,42
"Coeur d'Alene, ID",18451," 85,944 ",47.25,1819,17%,U,75,0,14,14,"-116.848823192264, 47.7237083494912",Mountain Gear,"-117.3226638, 47.678368",49 Degrees,"-117.5629318, 48.3011041",Jug Mountain,"-116.0479775, 44.8329387",34,101,101
"Nampa, ID",60976," 115,189 ",69.39,1660,10%,U,75,0,16,16,"-116.608577106909, 43.615358612473",Bogus Basin,"-116.2058992, 43.6433908",Jug Mountain,"-116.0479775, 44.8329387",Galena Lodge,"-114.6550743, 43.8720784",34,147,147
"Portland, ME",71263,194905,136.15,1432,25%,U,75,0,7,7,"-70.3242906610551, 43.6630432998542",Harris Farm,"-70.5744266, 43.5288109",Rangeley Lakes,"-70.561212, 44.9557018",Carter's,"-70.7861165, 44.4664298",38.06666667,163.95,163.95
"Kingston, NY",45262," 53,330 ",42.84,1245,14%,U,75,39,0,39,"-74.0158209610189, 41.9478584199144",Mohonk Mountain,"-74.1364747, 41.7776369",Mountain Trails,"-74.142554, 42.195406",Fahnestock,"-73.8246946, 41.4662118",40,42,42
"Wenatchee, WA",93862," 60,058 ",31.42,1912,13%,U,75,0,56,56,"-120.290086999048, 47.4228443672974",Leavenworth,"-120.6703006, 47.5784587",Methow Trails,"-120.1823871, 48.4762676",Stevens Pass,"-121.0902877, 47.7451493",40,122,122
"South Lake Tahoe, CA--NV",83305," 31,348 ",16.68,1879,18%,C,76,0,32,32,"-119.987462427568, 38.9131732164099",Hope Valley,"-119.9088482, 38.7379421",Kirkwood XC,"-120.0722442, 38.7023082",Tahoe,"-120.1061923, 39.1972293",40,53,53
"Ogden--Layton, UT",64945,478333,217.73,2197,20%,U,75,0,9,9,"-111.985805595165, 41.1401927352571",Mountain Dell,"-111.9114578, 40.7552338",Sundance,"-111.5785537, 40.3914719",Soldier Hollow,"-111.5011363, 40.4808987",44.76666667,97.33333333,97.33333333
"Nashua, NH--MA",61165,199188,182.23,1093,24%,U,75,0,1,1,"-71.4458837025268, 42.8196222747793",Great Brook,"-71.3528633, 42.5564104",Weston,"-71.2679762, 42.3316045",Gunstock,"-71.3588827, 43.550139",46.55,73.23333333,73.23333333
"Concord, NH",19531,47988,34.09,1408,19%,C,76,0,6,6,"-71.552729226664, 43.2228038479258",Gunstock,"-71.3588827, 43.550139",Great Brook,"-71.3528633, 42.5564104",Bretton Woods,"-71.4379694, 44.2544692",49.86666667,111.1666667,111.1666667
"Torrington, CT",88192,35367,25.16,1406,13%,C,76,0,0,0,"-73.096684270727, 41.8403480760273",Maple Corner,"-72.9596669, 42.1263221",Notchview,"-73.1588148, 42.4764367",Prospect,"-73.077599, 42.875404",50.91666667,87.81666667,87.81666667
"Portsmouth, NH--ME",71506,50567,92.65,546,28%,U,75,0,0,0,"-70.8143903213894, 43.0407809473772",Harris Farm,"-70.5744266, 43.5288109",Purity Spring,"-71.0889018, 43.8680791",Wolfeboro XC,"-71.2152225, 43.5847667",52.85,87.88333333,87.88333333
"Carson City, NV",14158,61596,23.09,2668,12%,U,75,0,34,34,"-119.753133027288, 39.155558762073",Hope Valley,"-119.9088482, 38.7379421",Tahoe,"-120.1061923, 39.1972293",Kirkwood XC,"-120.0722442, 38.7023082",53.5,67.6,67.6
"Boulder, CO",9298,113360,32.45,3494,34%,U,75,39,55,94,"-105.237914117653, 40.0289882292618",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",Snow Mountain Ranch,"-105.9394597, 40.086097",56.61666667,128.3833333,128.3833333
"Utica, NY",89785,113389,62.40,1817,13%,U,75,0,0,0,"-75.2753582498685, 43.0949627337311",Osceola,"-75.5978854, 43.4627838",Osceola Ski and Sport,"-75.7016595, 43.5060069",Parc de la Gatineau,"-75.7724649, 45.4612618",59.13333333,65.83333333,65.83333333
"Manchester, NH",53740,148016,86.23,1716,19%,U,75,0,1,1,"-71.4800949615133, 42.9907680260356",Great Brook,"-71.3528633, 42.5564104",Gunstock,"-71.3588827, 43.550139",Weston,"-71.2679762, 42.3316045",60.33333333,65.78333333,65.78333333
"Springfield, MA--CT",83926,579848,348.56,1664,16%,U,75,0,3,3,"-72.5743925757509, 42.125548968133",Northfield Mountain,"-72.471313, 42.610827",Grafton,"-72.6146009, 43.162418",Maple Corner,"-72.9596669, 42.1263221",61.48333333,107.3333333,107.3333333
"Worcester, MA--CT",97291,446665,304.20,1468,20%,U,75,0,0,0,"-71.7946560644468, 42.1859962141386",Great Brook,"-71.3528633, 42.5564104",Eastman,"-72.1200467, 43.4982771",Weston,"-71.2679762, 42.3316045",61.71666667,147.9666667,147.9666667
"Syracuse, NY",86302,402199,194.93,2063,18%,U,75,0,1,1,"-76.1640814988581, 43.0901929604679",Osceola Ski and Sport,"-75.7016595, 43.5060069",Osceola,"-75.5978854, 43.4627838",Parc de la Gatineau,"-75.7724649, 45.4612618",62.08333333,70.03333333,70.03333333
"New Bedford, MA",61786,148952,55.14,2701,12%,U,75,0,0,0,"-70.9379245292862, 41.6752289133191",Weston,"-71.2679762, 42.3316045",Great Brook,"-71.3528633, 42.5564104",Wolfeboro XC,"-71.2152225, 43.5847667",63.3,93.75,93.75
"Lewiston, ME",49339,50849,35.40,1436,12%,U,75,0,0,0,"-70.1828722552291, 44.0818358713696",Harris Farm,"-70.5744266, 43.5288109",Rangeley Lakes,"-70.561212, 44.9557018",Quarry Road,"-69.6579825, 44.5828526",64.13333333,129.9833333,129.9833333
"Grass Valley, CA",34597,34954,28.00,1248,18%,C,76,0,7,7,"-121.042394551424, 39.2000554791625",Royal Gorge,"-120.3891698, 39.3133934",Tahoe Donner,"-120.2534233, 39.3633936",Tahoe,"-120.1061923, 39.1972293",65,81.23333333,81.23333333
"Reno, NV--CA",74179,338215,164.43,2057,16%,U,75,0,30,30,"-119.797417314416, 39.5322134376411",Tahoe,"-120.1061923, 39.1972293",Hope Valley,"-119.9088482, 38.7379421",Tahoe Donner,"-120.2534233, 39.3633936",67.25,85.8,85.8
"Providence, RI--MA",72505,1175241,545.09,2156,18%,U,75,0,0,0,"-71.3968087113659, 41.7768043333128",Weston,"-71.2679762, 42.3316045",Great Brook,"-71.3528633, 42.5564104",Gunstock,"-71.3588827, 43.550139",69.31666667,100.2,100.2
"Lafayette--Louisville--Erie, CO",46126,65742,39.55,1662,35%,U,75,35,55,90,"-105.102374234743, 39.9930181517605",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",Snow Mountain Ranch,"-105.9394597, 40.086097",70.26666667,131.6166667,131.6166667
"Dover--Rochester, NH--ME",24607,84806,66.44,1276,20%,U,75,0,4,4,"-70.9040951917283, 43.2317459163609",Purity Spring,"-71.0889018, 43.8680791",Wolfeboro XC,"-71.2152225, 43.5847667",Harris Farm,"-70.5744266, 43.5288109",70.65,52.36666667,52.36666667
"Poughkeepsie--Newburgh, NY--NJ",71803,375252,327.81,1145,16%,U,75,66,0,66,"-73.9830280573842, 41.5524785552292",Fahnestock,"-73.8246946, 41.4662118",Mohonk Mountain,"-74.1364747, 41.7776369",Mountain Trails,"-74.142554, 42.195406",71.35,59.03333333,59.03333333
"Oswego, NY",66241,38913,20.77,1874,12%,C,76,0,1,1,"-76.4667535798625, 43.407477409951",Osceola Ski and Sport,"-75.7016595, 43.5060069",Parc de la Gatineau,"-75.7724649, 45.4612618",Osceola,"-75.5978854, 43.4627838",72.68333333,223.7833333,223.7833333
"Hartford, CT",37243,879477,516.25,1704,19%,U,75,0,0,0,"-72.6991012160243, 41.7407179895477",Maple Corner,"-72.9596669, 42.1263221",Northfield Mountain,"-72.471313, 42.610827",Timber Creek,"-72.887034, 42.971872",76.36666667,94.7,94.7
"Watertown, NY",92674,46545,40.87,1139,13%,U,75,0,0,0,"-75.8182612100721, 44.0090414528935",Osceola Ski and Sport,"-75.7016595, 43.5060069",Osceola,"-75.5978854, 43.4627838",Parc de la Gatineau,"-75.7724649, 45.4612618",76.83333333,82.15,82.15
"St. Cloud, MN",77338,95799,50.19,1909,18%,U,75,0,0,0,"-94.1940552271517, 45.5730592399131",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",77.43333333,909.95,909.95
"Longmont, CO",51175,80220,26.26,3055,24%,U,75,38,43,81,"-105.099170809802, 40.1703388487451",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",Snow Mountain Ranch,"-105.9394597, 40.086097",78.31666667,143.7333333,143.7333333
"Waterbury, CT",92485,196115,90.27,2173,14%,U,75,0,0,0,"-73.0395847653059, 41.549094090254",Maple Corner,"-72.9596669, 42.1263221",Notchview,"-73.1588148, 42.4764367",Prospect,"-73.077599, 42.875404",78.35,114.8166667,114.8166667
"Redding, CA",73774,113623,71.06,1599,13%,U,75,20,16,36,"-122.361038301649, 40.5760106361168",Mt Shasta,"-122.181241, 41.317558",Mt Bachelor,"-121.405239, 43.9971703",Royal Gorge,"-120.3891698, 39.3133934",83.91666667,310.3666667,310.3666667
"Logan, UT",50959,85572,43.87,1951,23%,U,75,0,12,12,"-111.835512496575, 41.7242085284553",Mountain Dell,"-111.9114578, 40.7552338",Sundance,"-111.5785537, 40.3914719",Soldier Hollow,"-111.5011363, 40.4808987",85.16666667,137.6166667,137.6166667
"Twin Falls, ID",89245,42065,18.11,2323,12%,C,76,8,1,9,"-114.453499583278, 42.5616771365828",BCRD Nordic,"-114.2938755, 43.5155169",Sun Valley,"-114.353624, 43.695609",Galena Lodge,"-114.6550743, 43.8720784",91.46666667,113.4833333,113.4833333
"Sacramento, CA",77068,1483044,470.99,3149,19%,U,75,38,22,60,"-121.32739101813, 38.6392789141632",Royal Gorge,"-120.3891698, 39.3133934",Tahoe Donner,"-120.2534233, 39.3633936",Tahoe,"-120.1061923, 39.1972293",92.45,108.65,108.65
"Denver--Aurora, CO",23527,2067512,667.53,3097,24%,U,75,37,79,116,"-104.950752893857, 39.7104086010968",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",Keystone,"-105.9347384, 39.5791675",93.7,114.2166667,114.2166667
"Marysville, WA",55333,133358,81.81,1630,14%,U,75,4,34,38,"-122.146818488017, 48.0526442309436",Stevens Pass,"-121.0902877, 47.7451493",Cypress Mountain,"-123.2046314, 49.396",Lost Lake,"-122.948241, 50.120232",95.08333333,167.6166667,167.6166667
"Portland, OR--WA",71317,1774292,524.37,3384,23%,U,75,0,117,117,"-122.651130207486, 45.5202194701275",Teacup Nordic,"-121.6422905, 45.3136991",Mt Bachelor,"-121.405239, 43.9971703",Stevens Pass,"-121.0902877, 47.7451493",96.83333333,227.4166667,227.4166667
"Rochester, MN",75637,96385,50.44,1911,24%,U,75,0,0,0,"-92.4766992090859, 44.0216409039257",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",100.5,816.9333333,816.9333333
"Glens Falls, NY",33598,60903,41.59,1464,12%,U,75,0,9,9,"-73.6557493458751, 43.3202378934989",Pineridge,"-73.4677841, 42.6909853",Mt Van Hoevenberg,"-73.9135195, 44.2244201",Cascade,"-73.9263423, 44.2412103",100.9666667,96.76666667,96.76666667
"Mankato, MN",53983,51433,26.35,1952,24%,U,75,0,0,0,"-93.9911021782753, 44.1665777422627",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",101.55,797.1333333,797.1333333
"Auburn, NY",4114,31222,12.91,2419,12%,C,76,0,1,1,"-76.5611487895393, 42.926539412171",Osceola Ski and Sport,"-75.7016595, 43.5060069",Osceola,"-75.5978854, 43.4627838",Parc de la Gatineau,"-75.7724649, 45.4612618",103.3333333,111.2833333,111.2833333
"Eau Claire, WI",26038,94593,68.98,1371,20%,U,75,0,0,0,"-91.4449587937224, 44.857970954782",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",106,941.1,941.1
"New Haven, CT",62407,548950,306.02,1794,18%,U,75,0,0,0,"-72.780727890953, 41.3701825018627",Maple Corner,"-72.9596669, 42.1263221",Northfield Mountain,"-72.471313, 42.610827",Timber Creek,"-72.887034, 42.971872",106.3833333,124.7166667,124.7166667
"Bellingham, WA",6652,97096,48.01,2022,25%,U,75,4,7,11,"-122.478095988651, 48.7740846893849",Cypress Mountain,"-123.2046314, 49.396",Lost Lake,"-122.948241, 50.120232",Whistler,"-122.9555605, 50.1155699",110.9166667,184.1833333,184.1833333
"Fort Collins, CO",30628,218466,109.07,2003,25%,U,75,38,40,78,"-105.058281118349, 40.4984262155337",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",Snow Mountain Ranch,"-105.9394597, 40.086097",111.3666667,155.4833333,155.4833333
"Woodland, CA",96994,52627,12.20,4312,15%,U,75,41,12,53,"-121.761636067187, 38.673312042341",Royal Gorge,"-120.3891698, 39.3133934",Mt Shasta,"-122.181241, 41.317558",Tahoe Donner,"-120.2534233, 39.3633936",112.6833333,227.3333333,227.3333333
"Medford, OR",55981,138379,64.75,2137,16%,U,75,8,152,160,"-122.844771227198, 42.3359196250702",Mt Shasta,"-122.181241, 41.317558",Mt Bachelor,"-121.405239, 43.9971703",Teacup Nordic,"-121.6422905, 45.3136991",112.9,221.9333333,221.9333333
"Yakima, WA",97507,118516,59.82,1981,12%,U,75,12,46,58,"-120.544122852617, 46.6119764780069",Leavenworth,"-120.6703006, 47.5784587",Stevens Pass,"-121.0902877, 47.7451493",Methow Trails,"-120.1823871, 48.4762676",113.55,152.4666667,152.4666667
"Klamath Falls--Altamont, OR",45505,42318,21.90,1932,12%,C,76,4,83,87,"-121.755783495927, 42.2072732440093",Mt Shasta,"-122.181241, 41.317558",Mt Bachelor,"-121.405239, 43.9971703",Teacup Nordic,"-121.6422905, 45.3136991",113.8,164.0166667,164.0166667
"Seattle, WA",80389,2935248,1009.80,2907,25%,U,75,53,94,147,"-122.270820537258, 47.4717781807391",Stevens Pass,"-121.0902877, 47.7451493",Teacup Nordic,"-121.6422905, 45.3136991",Cypress Mountain,"-123.2046314, 49.396",114.6333333,249.4166667,249.4166667
"Davis, CA",22420,71698,14.12,5078,30%,U,75,55,11,66,"-121.738962752544, 38.5539914067708",Royal Gorge,"-120.3891698, 39.3133934",Mt Shasta,"-122.181241, 41.317558",Tahoe Donner,"-120.2534233, 39.3633936",114.65,237.5,237.5
"Woodburn, OR",96913,47066,11.65,4039,12%,C,76,0,41,41,"-122.852128292261, 45.1533729850866",Teacup Nordic,"-121.6422905, 45.3136991",Mt Bachelor,"-121.405239, 43.9971703",Mt Shasta,"-122.181241, 41.317558",116.6,200.1333333,200.1333333
"Yuba City, CA",97939,114325,38.65,2958,11%,U,75,2,9,11,"-121.607170019954, 39.1230214383977",Royal Gorge,"-120.3891698, 39.3133934",Mt Shasta,"-122.181241, 41.317558",Tahoe Donner,"-120.2534233, 39.3633936",117.0833333,226.5333333,226.5333333
"Middletown, NY",56899,53094,31.31,1696,12%,U,75,59,0,59,"-74.3931171166078, 41.445102170493",Bearpen,"-74.4551101, 42.2837935",Mohonk Mountain,"-74.1364747, 41.7776369",Mountain Trails,"-74.142554, 42.195406",120.1666667,65.9,65.9
"Greeley, CO",34786,108746,41.20,2639,17%,U,75,31,29,60,"-104.733545676154, 40.4058236264249",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",Snow Mountain Ranch,"-105.9394597, 40.086097",120.3,165.2,165.2
"Saratoga Springs, NY",79633,54349,45.48,1195,22%,U,75,0,5,5,"-73.7971541880053, 43.058779938691",Mt Van Hoevenberg,"-73.9135195, 44.2244201",Pineridge,"-73.4677841, 42.6909853",Cascade,"-73.9263423, 44.2412103",123.3,79.65,79.65
"Leominster--Fitchburg, MA",49096,112517,65.00,1731,15%,U,75,0,0,0,"-71.8469394839505, 42.5686111677814",Eastman,"-72.1200467, 43.4982771",Great Brook,"-71.3528633, 42.5564104",Gunstock,"-71.3588827, 43.550139",135.9166667,48.15,48.15
"Ithaca, NY",41914,55104,24.56,2243,25%,U,75,0,1,1,"-76.48247173904, 42.4613666131249",Osceola Ski and Sport,"-75.7016595, 43.5060069",Osceola,"-75.5978854, 43.4627838",Parc de la Gatineau,"-75.7724649, 45.4612618",136.5,144.45,144.45
"Modesto, CA",58006,332496,92.13,3609,10%,U,75,6,2,8,"-120.966598201491, 37.6739138605626",Bear Valley,"-120.0422834, 38.461523",Royal Gorge,"-120.3891698, 39.3133934",Kirkwood XC,"-120.0722442, 38.7023082",138.5833333,185.15,185.15
"Mount Vernon, WA",60490,57623,34.44,1673,11%,U,75,5,12,17,"-122.295576965819, 48.44933579536",Cypress Mountain,"-123.2046314, 49.396",Lost Lake,"-122.948241, 50.120232",Whistler,"-122.9555605, 50.1155699",144.05,217.3166667,217.3166667
"Norwich--New London, CT--RI",64135,180616,152.03,1188,16%,U,75,0,0,0,"-72.0723164250848, 41.3965922942138",Northfield Mountain,"-72.471313, 42.610827",Eastman,"-72.1200467, 43.4982771",Grafton,"-72.6146009, 43.162418",147.5333333,215.7333333,215.7333333
"Binghamton, NY--PA",7732,159502,74.12,2152,15%,U,75,15,1,16,"-75.962889466459, 42.1054038278452",Osceola Ski and Sport,"-75.7016595, 43.5060069",Osceola,"-75.5978854, 43.4627838",Parc de la Gatineau,"-75.7724649, 45.4612618",154.2666667,159.25,159.25
"Helena, MT",38161,41045,28.16,1458,24%,C,76,0,11,11,"-111.990868853415, 46.6140500925857",Lone Mountain,"-111.3245968, 45.2769552",Crosscut,"-110.887706, 45.828366",Rendezvous,"-111.1041092, 44.6621493",156.2,123.4,123.4
"Danbury, CT--NY",22096,161165,131.70,1224,22%,U,75,28,0,28,"-73.4250488451331, 41.4554450137796",Pineridge,"-73.4677841, 42.6909853",Notchview,"-73.1588148, 42.4764367",Fahnestock,"-73.8246946, 41.4662118",160.15,152.7333333,152.7333333
"Bridgeport--Stamford, CT--NY",10162,909223,466.26,1950,24%,U,75,54,0,54,"-73.3093196346705, 41.2350089606033",Notchview,"-73.1588148, 42.4764367",Maple Corner,"-72.9596669, 42.1263221",Pineridge,"-73.4677841, 42.6909853",161.25,124.2166667,124.2166667
"Moses Lake, WA",59518,30471,26.57,1147,12%,C,76,0,12,12,"-119.306089826112, 47.1492193041848",Methow Trails,"-120.1823871, 48.4762676",Leavenworth,"-120.6703006, 47.5784587",SilverStar,"-119.0588591, 50.3597927",171,119.2833333,119.2833333
"Idaho Falls, ID",40996,76772,44.57,1723,17%,U,75,10,30,40,"-112.000991785162, 43.4949558774283",Lone Mountain,"-111.3245968, 45.2769552",Rendezvous,"-111.1041092, 44.6621493",Mountain Dell,"-111.9114578, 40.7552338",182.0833333,116.8166667,116.8166667
"Oroville, CA",65944,37487,24.58,1525,7%,C,76,0,12,12,"-121.542654682596, 39.4989064960403",Mt Shasta,"-122.181241, 41.317558",Royal Gorge,"-120.3891698, 39.3133934",Tahoe Donner,"-120.2534233, 39.3633936",190.1333333,130.05,130.05
"Farmington, NM",29278,59489,35.32,1684,12%,U,75,43,0,43,"-108.159776599065, 36.7463259343982",Telluride,"-107.8066851, 37.9341352",Pagosa,"-107.0056993, 37.270875",Crested Butte,"-106.9874762, 38.8679422",193.5333333,135.4333333,135.4333333
"Barnstable Town, MA",5167,236606,277.45,853,23%,U,75,0,0,0,"-70.384920830729, 41.701680346162",Harris Farm,"-70.5744266, 43.5288109",Weston,"-71.2679762, 42.3316045",Carter's,"-70.7861165, 44.4664298",206.15,106.7166667,106.7166667
"Scranton, PA",80227,375582,170.76,2199,14%,U,75,54,0,54,"-75.7837919478993, 41.3492779180374",Osceola Ski and Sport,"-75.7016595, 43.5060069",Osceola,"-75.5978854, 43.4627838",Parc de la Gatineau,"-75.7724649, 45.4612618",209.0833333,217.0333333,217.0333333
"Bangor, ME",4951,60919,42.45,1435,18%,U,75,0,0,0,"-68.7473357851657, 44.8360753761276",Fort Kent,"-68.5879368, 47.2338001",Quarry Road,"-69.6579825, 44.5828526",Nordic Heritage Center,"-67.9510786, 46.7089019",211.9,65.16666667,65.16666667
"East Stroudsburg, PA--NJ",25849,43886,52.12,842,18%,U,75,59,0,59,"-75.209856858941, 41.0193294143299",Osceola,"-75.5978854, 43.4627838",Osceola Ski and Sport,"-75.7016595, 43.5060069",Bearpen,"-74.4551101, 42.2837935",250.9833333,243.0333333,243.0333333
"Butte-Silver Bow, MT",12052,29629,16.50,1796,15%,C,76,0,8,8,"-112.516393434673, 45.9835663248245",Lone Mountain,"-111.3245968, 45.2769552",Rendezvous,"-111.1041092, 44.6621493",Crosscut,"-110.887706, 45.828366",133.7333333,159.4833333,159.4833333
"Gloversville, NY",33733,29033,16.18,1795,8%,C,76,0,0,0,"-74.3510357772377, 43.0254208520911",Lapland,"-74.3251232, 43.2595452",Bearpen,"-74.4551101, 42.2837935",Mountain Trails,"-74.142554, 42.195406",38.23333333,102.5166667,102.5166667
"Kalispell, MT",43777,29019,17.44,1664,17%,C,76,42,13,55,"-114.306754069047, 48.2113684223177",Whitefish,"-114.3352652, 48.4106373",Calgary,"-114.1859741, 51.1387915",Canmore,"-115.3855351, 51.0903362",25.83333333,362.05,362.05
"Pullman, WA",72748,28668,6.83,4199,32%,C,76,1,2,3,"-117.175240897105, 46.7332192809426",Mountain Gear,"-117.3226638, 47.678368",49 Degrees,"-117.5629318, 48.3011041",Jug Mountain,"-116.0479775, 44.8329387",100.4666667,173.2833333,173.2833333
"Plattsburgh, NY",70156,28579,25.91,1103,15%,C,76,0,0,0,"-73.4893387542201, 44.6832962643804",Mt Van Hoevenberg,"-73.9135195, 44.2244201",Catamount,"-73.048714, 44.447395",Cascade,"-73.9263423, 44.2412103",69.9,101.1666667,101.1666667
"Geneva, NY",32842,28553,15.35,1860,15%,C,76,0,1,1,"-76.9041902839203, 42.8778277885586",Osceola Ski and Sport,"-75.7016595, 43.5060069",Parc de la Gatineau,"-75.7724649, 45.4612618",Osceola,"-75.5978854, 43.4627838",116.85,266.65,266.65
"Placerville--Diamond Springs, CA",69832,28281,26.09,1084,12%,C,76,0,17,17,"-120.770888301785, 38.7221117357634",Royal Gorge,"-120.3891698, 39.3133934",Tahoe Donner,"-120.2534233, 39.3633936",Kirkwood XC,"-120.0722442, 38.7023082",119.4166667,135.6166667,135.6166667
"Tooele, UT",88057,28068,9.18,3056,12%,C,76,0,8,8,"-112.299359048057, 40.5386587214784",Mountain Dell,"-111.9114578, 40.7552338",Sundance,"-111.5785537, 40.3914719",Soldier Hollow,"-111.5011363, 40.4808987",39.93333333,92.68333333,92.68333333
"Cortland, NY",20395,27358,10.67,2565,17%,C,76,0,1,1,"-76.1824932644046, 42.6044796054825",Osceola Ski and Sport,"-75.7016595, 43.5060069",Osceola,"-75.5978854, 43.4627838",Parc de la Gatineau,"-75.7724649, 45.4612618",104.0333333,111.9833333,111.9833333
"North Adams, MA--VT",63460,26848,9.79,2742,15%,C,76,0,4,4,"-73.1503969117285, 42.7095631464049",Notchview,"-73.1588148, 42.4764367",Prospect,"-73.077599, 42.875404",Maple Corner,"-72.9596669, 42.1263221",47.68333333,42.03333333,42.03333333
"Augusta, ME",4195,25455,17.34,1468,16%,C,76,0,0,0,"-69.7795404604628, 44.2882902694891",Quarry Road,"-69.6579825, 44.5828526",Rangeley Lakes,"-70.561212, 44.9557018",Harris Farm,"-70.5744266, 43.5288109",40.66666667,130.7666667,130.7666667
"Ilion--Herkimer, NY",41023,24992,11.28,2216,9%,C,76,0,0,0,"-75.0297589212229, 43.0181895766398",Osceola,"-75.5978854, 43.4627838",Bearpen,"-74.4551101, 42.2837935",Osceola Ski and Sport,"-75.7016595, 43.5060069",73.18333333,116.25,116.25
"Rexburg, ID",74260,24941,7.01,3558,23%,C,76,21,29,50,"-111.785291561494, 43.8264944037939",Lone Mountain,"-111.3245968, 45.2769552",Rendezvous,"-111.1041092, 44.6621493",Mountain Dell,"-111.9114578, 40.7552338",156.8666667,93.36666667,93.36666667
"Owatonna, MN",66430,24788,12.71,1950,17%,C,76,0,0,0,"-93.2215315595767, 44.0901678083496",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",72.18333333,788.4833333,788.4833333
